"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","TOT","IDX2015","Q","1973-Q1",10.58742,
"AUS","CPI","TOT","IDX2015","Q","1973-Q2",10.9589,
"AUS","CPI","TOT","IDX2015","Q","1973-Q3",11.33039,
"AUS","CPI","TOT","IDX2015","Q","1973-Q4",11.70188,
"AUS","CPI","TOT","IDX2015","Q","1974-Q1",12.07337,
"AUS","CPI","TOT","IDX2015","Q","1974-Q2",12.53773,
"AUS","CPI","TOT","IDX2015","Q","1974-Q3",13.18783,
"AUS","CPI","TOT","IDX2015","Q","1974-Q4",13.65219,
"AUS","CPI","TOT","IDX2015","Q","1975-Q1",14.20943,
"AUS","CPI","TOT","IDX2015","Q","1975-Q2",14.67379,
"AUS","CPI","TOT","IDX2015","Q","1975-Q3",14.76666,
"AUS","CPI","TOT","IDX2015","Q","1975-Q4",15.60251,
"AUS","CPI","TOT","IDX2015","Q","1976-Q1",16.06687,
"AUS","CPI","TOT","IDX2015","Q","1976-Q2",16.43836,
"AUS","CPI","TOT","IDX2015","Q","1976-Q3",16.80984,
"AUS","CPI","TOT","IDX2015","Q","1976-Q4",17.83144,
"AUS","CPI","TOT","IDX2015","Q","1977-Q1",18.20292,
"AUS","CPI","TOT","IDX2015","Q","1977-Q2",18.66729,
"AUS","CPI","TOT","IDX2015","Q","1977-Q3",19.03877,
"AUS","CPI","TOT","IDX2015","Q","1977-Q4",19.50313,
"AUS","CPI","TOT","IDX2015","Q","1978-Q1",19.78175,
"AUS","CPI","TOT","IDX2015","Q","1978-Q2",20.15324,
"AUS","CPI","TOT","IDX2015","Q","1978-Q3",20.52473,
"AUS","CPI","TOT","IDX2015","Q","1978-Q4",20.98909,
"AUS","CPI","TOT","IDX2015","Q","1979-Q1",21.36058,
"AUS","CPI","TOT","IDX2015","Q","1979-Q2",21.91781,
"AUS","CPI","TOT","IDX2015","Q","1979-Q3",22.47504,
"AUS","CPI","TOT","IDX2015","Q","1979-Q4",23.12514,
"AUS","CPI","TOT","IDX2015","Q","1980-Q1",23.58951,
"AUS","CPI","TOT","IDX2015","Q","1980-Q2",24.33248,
"AUS","CPI","TOT","IDX2015","Q","1980-Q3",24.70397,
"AUS","CPI","TOT","IDX2015","Q","1980-Q4",25.2612,
"AUS","CPI","TOT","IDX2015","Q","1981-Q1",25.81844,
"AUS","CPI","TOT","IDX2015","Q","1981-Q2",26.37567,
"AUS","CPI","TOT","IDX2015","Q","1981-Q3",26.9329,
"AUS","CPI","TOT","IDX2015","Q","1981-Q4",28.04737,
"AUS","CPI","TOT","IDX2015","Q","1982-Q1",28.6046,
"AUS","CPI","TOT","IDX2015","Q","1982-Q2",29.2547,
"AUS","CPI","TOT","IDX2015","Q","1982-Q3",30.27629,
"AUS","CPI","TOT","IDX2015","Q","1982-Q4",31.20502,
"AUS","CPI","TOT","IDX2015","Q","1983-Q1",31.85512,
"AUS","CPI","TOT","IDX2015","Q","1983-Q2",32.50522,
"AUS","CPI","TOT","IDX2015","Q","1983-Q3",33.06246,
"AUS","CPI","TOT","IDX2015","Q","1983-Q4",33.8983,
"AUS","CPI","TOT","IDX2015","Q","1984-Q1",33.71256,
"AUS","CPI","TOT","IDX2015","Q","1984-Q2",33.80543,
"AUS","CPI","TOT","IDX2015","Q","1984-Q3",34.26979,
"AUS","CPI","TOT","IDX2015","Q","1984-Q4",34.73415,
"AUS","CPI","TOT","IDX2015","Q","1985-Q1",35.19851,
"AUS","CPI","TOT","IDX2015","Q","1985-Q2",36.03436,
"AUS","CPI","TOT","IDX2015","Q","1985-Q3",36.87021,
"AUS","CPI","TOT","IDX2015","Q","1985-Q4",37.61319,
"AUS","CPI","TOT","IDX2015","Q","1986-Q1",38.44904,
"AUS","CPI","TOT","IDX2015","Q","1986-Q2",39.09914,
"AUS","CPI","TOT","IDX2015","Q","1986-Q3",40.12074,
"AUS","CPI","TOT","IDX2015","Q","1986-Q4",41.2352,
"AUS","CPI","TOT","IDX2015","Q","1987-Q1",42.07105,
"AUS","CPI","TOT","IDX2015","Q","1987-Q2",42.72115,
"AUS","CPI","TOT","IDX2015","Q","1987-Q3",43.46413,
"AUS","CPI","TOT","IDX2015","Q","1987-Q4",44.2071,
"AUS","CPI","TOT","IDX2015","Q","1988-Q1",44.95008,
"AUS","CPI","TOT","IDX2015","Q","1988-Q2",45.78593,
"AUS","CPI","TOT","IDX2015","Q","1988-Q3",46.62178,
"AUS","CPI","TOT","IDX2015","Q","1988-Q4",47.5505,
"AUS","CPI","TOT","IDX2015","Q","1989-Q1",48.01486,
"AUS","CPI","TOT","IDX2015","Q","1989-Q2",49.22219,
"AUS","CPI","TOT","IDX2015","Q","1989-Q3",50.33666,
"AUS","CPI","TOT","IDX2015","Q","1989-Q4",51.26538,
"AUS","CPI","TOT","IDX2015","Q","1990-Q1",52.1941,
"AUS","CPI","TOT","IDX2015","Q","1990-Q2",53.02995,
"AUS","CPI","TOT","IDX2015","Q","1990-Q3",53.40144,
"AUS","CPI","TOT","IDX2015","Q","1990-Q4",54.79452,
"AUS","CPI","TOT","IDX2015","Q","1991-Q1",54.70165,
"AUS","CPI","TOT","IDX2015","Q","1991-Q2",54.79452,
"AUS","CPI","TOT","IDX2015","Q","1991-Q3",55.07314,
"AUS","CPI","TOT","IDX2015","Q","1991-Q4",55.63037,
"AUS","CPI","TOT","IDX2015","Q","1992-Q1",55.63037,
"AUS","CPI","TOT","IDX2015","Q","1992-Q2",55.44463,
"AUS","CPI","TOT","IDX2015","Q","1992-Q3",55.5375,
"AUS","CPI","TOT","IDX2015","Q","1992-Q4",55.81611,
"AUS","CPI","TOT","IDX2015","Q","1993-Q1",56.28047,
"AUS","CPI","TOT","IDX2015","Q","1993-Q2",56.46622,
"AUS","CPI","TOT","IDX2015","Q","1993-Q3",56.74483,
